sequence,action,bucket,name,country,priority,sources,reason
1,create,create_us_anchor,Boeing,US,32,sof_raw;ausa_2025;mdm_2025;afa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025, mdm_2025, afa_2025"
2,create,create_us_anchor,Amazon Web Services,US,22,ausa_2025;mdm_2025;afa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: ausa_2025, mdm_2025, afa_2025"
3,create,create_us_anchor,"B.E. Meyers & Co., Inc.",US,22,sof_raw;ausa_2025;mdm_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025, mdm_2025"
4,create,create_us_anchor,Bastille,US,22,sof_raw;ausa_2025;mdm_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025, mdm_2025"
5,create,create_us_anchor,BlueHalo,US,22,sof_raw;ausa_2025;mdm_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025, mdm_2025"
6,create,create_us_anchor,BlueSky Innovations,US,22,sof_raw;ausa_2025;mdm_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025, mdm_2025"
7,create,create_us_anchor,L3Harris Technologies,US,22,sof_raw;ausa_2025;afa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025, afa_2025"
8,create,create_us_anchor,Babel Street,US,21,sof_raw;ausa_2025;afa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025, afa_2025"
9,create,create_us_anchor,Esri,US,21,sof_raw;ausa_2025;afa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025, afa_2025"
10,create,create_us_anchor,"Glenair, Inc.",US,21,sof_raw;ausa_2025;afa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025, afa_2025"
11,create,create_us_anchor,Leidos,US,21,sof_raw;ausa_2025;afa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025, afa_2025"
12,create,create_us_anchor,MBDA Inc.,US,21,sof_raw;ausa_2025;afa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025, afa_2025"
13,create,create_us_anchor,Panasonic Connect,US,21,sof_raw;ausa_2025;afa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025, afa_2025"
14,create,create_us_anchor,Red Hat,US,21,sof_raw;ausa_2025;afa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025, afa_2025"
15,create,create_us_anchor,Rolls-Royce,US,21,sof_raw;ausa_2025;afa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025, afa_2025"
16,create,create_us_anchor,RTX,US,21,sof_raw;ausa_2025;afa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025, afa_2025"
17,create,create_us_anchor,Shield AI,US,21,sof_raw;ausa_2025;afa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025, afa_2025"
18,create,create_us_anchor,Shift5,US,21,sof_raw;ausa_2025;afa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025, afa_2025"
19,create,create_us_anchor,TurbineOne,US,21,sof_raw;ausa_2025;afa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025, afa_2025"
20,create,create_us_anchor,"ADS, Inc.",US,19,ausa_2025;mdm_2025;afa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: ausa_2025, mdm_2025, afa_2025"
21,create,create_us_anchor,General Dynamics Mission Systems,US,16,sof_raw;ausa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025"
22,create,create_us_anchor,Nammo Defense Systems Inc.,US,16,sof_raw;ausa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025"
23,create,create_us_anchor,Anduril,US,15,ausa_2025;mdm_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: ausa_2025, mdm_2025"
24,create,create_us_anchor,Auterion Government Solutions,US,15,sof_raw;ausa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025"
25,create,create_us_anchor,Edge Autonomy,US,15,sof_raw;ausa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025"
26,create,create_us_anchor,IEC Infrared Systems / Precision Remotes,US,15,sof_raw;ausa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025"
27,create,create_us_anchor,"Intellisense Systems, Inc.",US,15,sof_raw;ausa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025"
28,create,create_us_anchor,LMT Defense,US,15,sof_raw;ausa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025"
29,create,create_us_anchor,Pendulum Intelligence,US,15,sof_raw;ausa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025"
30,create,create_us_anchor,Quantum Systems,US,15,sof_raw;ausa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025"
31,create,create_us_anchor,SimCentric Technologies,US,15,sof_raw;ausa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025"
32,create,create_us_anchor,Skyborne Technologies,US,15,sof_raw;ausa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025"
33,create,create_us_anchor,TeamWorks Tactical,US,15,sof_raw;ausa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025"
34,create,create_us_anchor,Trakka Systems,US,15,sof_raw;ausa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025"
35,create,create_us_anchor,TRX Systems,US,15,sof_raw;ausa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025"
36,create,create_us_anchor,TYR Tactical,US,15,sof_raw;ausa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025"
37,create,create_us_anchor,Axon,US,14,sof_raw;ausa_2025,"new US exhibitor or prime-style anchor for graph expansion; source overlap: sof_raw, ausa_2025"
